Trial,Track Layout,Vehicle,ID,Speed,Lane,Battery Level,Average Velocity
12,oval,CHARGER,725373961,522,3,3872,60.70071409633276
13,oval,CHARGER,725373961,521,3,3866,60.70755703341562
13,oval,CHARGER,623596553,484,1,4006,60.49058479975698
14,oval,CHARGER,623596553,474,1,4007,60.7061776782547
14,oval,CHARGER,725373961,481,3,3865,60.72423943984201
15,oval,CHARGER,725373961,504,3,0,60.655052016789604
15,oval,CHARGER,623596553,496,1,3987,60.384008002157756
16,oval,CHARGER,725373961,514,3,3860,60.65040488821048
16,oval,CHARGER,623596553,487,1,4015,60.69600115823721
17,oval,CHARGER,725373961,510,3,3871,60.49569990607888
17,oval,CHARGER,623596553,490,1,3981,60.74093058886132
18,oval,CHARGER,725373961,501,3,3909,60.5250839689168
18,oval,CHARGER,623596553,481,1,3979,60.148789604449135
19,oval,CHARGER,623596553,481,1,4031,57.86964499708331
19,oval,CHARGER,725373961,476,3,3851,60.47443576809949
20,oval,CHARGER,623596553,491,1,3973,61.36890473647611
20,oval,CHARGER,725373961,530,3,3846,60.43647781435461
21,oval,CHARGER,725373961,523,3,0,60.8525387829353
21,oval,CHARGER,623596553,495,1,3970,60.444636538166186
22,oval,CHARGER,725373961,509,3,3894,60.49493354928035
22,oval,CHARGER,623596553,475,1,3965,60.47862894552979
23,oval,CHARGER,725373961,504,3,3837,60.5615375520764
23,oval,CHARGER,623596553,475,1,4000,60.81000689368358
24,oval,CHARGER,725373961,507,3,3869,60.78472167253697
24,oval,CHARGER,623596553,505,1,3963,60.30170367714042
25,oval,CHARGER,623596553,474,1,3957,60.3760855961426
25,oval,CHARGER,725373961,485,3,3856,60.65376343780766
26,oval,CHARGER,725373961,492,3,3853,60.804652501275996
26,oval,CHARGER,623596553,468,1,3955,57.69219526868193
27,oval,CHARGER,725373961,524,3,3828,60.37329976907132
27,oval,CHARGER,623596553,486,1,3956,60.803348435533316
28,oval,CHARGER,623596553,485,1,4032,60.26577771305112
28,oval,CHARGER,725373961,512,3,3837,60.42873046015976
29,oval,CHARGER,725373961,503,3,3822,60.762249474610414
29,oval,CHARGER,623596553,514,1,0,60.5955576173552
30,oval,CHARGER,725373961,513,3,3819,60.5546757527256
